,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,511,182,12,4,4,0,49,55,28.00305,14.623308,0,0,1587.1135,1.6562755e-10,22.321059472746953,0.19056110986617203,86520.555,32854.293,193451,8,0,6415.1055,0.015759531,2175001,1,0,81181000.0,0.033378158,5.4176576e-25,0.0,0.0,6242.286,4663.205,32.664368,0.14798184,0.0,30.371986,5.0337262e-15,350.7056,230669.05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1577095e-12,559.45154,0.66666675,18020.574,2.0,70.87372,1.5492239,786.0024,-1.0,41.721085,2.2668471,32.0,0.011374704,5.9354584e-30,91307.21,0.004177493,1.9703298e-33,0.0,1.819187e-30,0.0,BENIGN
1,488,23042,2,0,40,0,52,0,66.95342,0.70710677,0,0,199.92418,1.04274776e-10,0.0041152952265153964,0.04833525895760722,1086639.1,0.38924947,10719278,-1,119174695,4320474.5,0.015759531,25672,11,107348,3.9776412e-27,0.033378158,0.0,0.0,0.0,-7842.5015,37942.523,81.45037,7.8479863e-31,0.0,1386.3667,9.399631,0.0009369867,139513.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4494057,75.19902,47.71652,7846.2363,2.0,0.0055676103,53.63576,0.0026449265,27273.709,-1.0,0.002721836,19.0,0.011374704,6.0955135e-29,0.004224487,0.004177493,7.052386e-32,4.8025824e-32,0.0,0.0,BENIGN
2,63,4330744,10,1,370,0,1761,12,0.0,0.70710677,273,0,0.6666667,988.6275,2916.810094761824,396773.0369937367,18380.873,2064003.0,8313952,735,0,2.8629562e-26,6615759.0,62,62,0,3.1490116e-26,0.033378158,0.0,0.6320819,0.0,11586.195,19835.955,31.570911,39.42618,0.0,59.385986,28.590103,9.768605,1.02201175e-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.070465,626.5187,79.31779,6899.51,2.0,1014.1041,5.2900105,24455.49,7314.829,-1.0,0.002721836,31.0,8.054576,9.803975e-30,0.004224487,0.004177493,3.509716e-30,0.0,0.0,0.0,BENIGN
3,443,106416490,2,0,13,1095,2264,10,39.941376,53.553745,0,0,0.66666675,6.761972e-11,540833.9527429949,32.09296526797979,33366358.0,1529840.9,44866555,12,0,121.70952,7786780.0,1,5,0,2.640997e-26,0.033378158,80803.22,19525538.0,0.0,16223.535,9460.077,7.1700935,1.3615639,1.9347453,1396.6265,563.6636,2.7431705,340236.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13.443926,46.35807,140.67165,18136.32,2.2433298,680.7618,0.0026528125,0.0026449265,159.6467,-1.0,6.865723,32.0,20719896.0,9.2247404e-29,0.004224487,0.004177493,7.0820604e-30,1485775.8,0.0,0.0,BENIGN
4,459,13518,2,0,1559,0,35,0,20.4455,0.70710677,47,0,0.66666675,2.2451552e-10,2275.871084996265,0.06392752427511209,32559444.0,1365068.8,187489,7,107851450,2304768.2,0.015759531,0,1,119696644,3.6910247e-26,221327.62,0.0,0.0,0.0,4823.3716,23751.44,0.09895107,3.9006073e-29,0.0,60.875885,2.1143092e-17,0.0009369857,17149.844,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.292407,56.31378,413.19537,1522.5743,2.7239053,130.0457,0.0026528125,829961.1,-1.0,686.4549,0.002721836,20.0,0.011374704,0.0,0.004224487,217463.98,0.0,0.0,0.0,0.0,BENIGN
5,58,9294,2,5,1105,0,39,0,3.7884731,0.70710677,0,0,124.61174,6.376565e-11,17471.98087053208,0.090229257268566,61605.453,20620864.0,11000359,142366,586880,0.0,5302316.5,4,205,0,0.0,0.033378158,0.0,0.0,0.0,5811.9834,12987.282,2747476.2,82.139244,0.0,38.76651,9.295859,0.0009369866,3.9743217e-27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.076999,70.62522,1409.2489,8337.262,2.0,186.08812,0.9206965,251.67682,7577.117,-1.0,0.002721836,20.0,0.011374704,4.90184e-29,0.004224487,0.004177493,0.0,3.85931e-32,0.0,0.0,BENIGN
6,435,207462,2,1,1642,0,40,81,24.778654,42.176067,0,0,124.43779,326.6147,1334.446847861857,0.6884509454874179,1556790.0,6795277.5,87446464,2,69024067,150115.19,0.015759531,3022,735,3149321,188.78203,0.033378158,1.4073902e-27,0.0,0.0,3072.651,4814.645,4362.1924,49.598606,0.0,52.542355,4.0780025e-18,0.0009369858,813577.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.611973,190.0689,0.6666667,-8175.612,9.14976,67.05826,2.9967396,168.24036,-1.0,62957.797,21.046898,31.0,0.011374704,6.576883e-31,0.004224487,0.004177493,0.0,0.0,6.905499e-30,0.0,BENIGN
7,62768,13000,2,1,13,732,65,0,19.083782,0.70710677,0,0,161.7568,487.70065,1806927.0065002395,0.3158778679903323,1297606.9,0.38924947,627,12,3444627,57065330.0,0.015759531,1430197,4,118779714,7314.075,47584596.0,1.3632167e-26,0.30089656,0.0,9986.036,14457.192,39.873398,3.9346416,2.5192292,7.139431,470.2028,1.1658797,3571.8691,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.882767,65.09779,0.66666675,12959.797,2.2210867,15.128721,0.0026528125,0.0026449265,83.205795,-1.0,0.002721836,20.0,0.011374704,4.7056647e-29,0.004224487,0.004177493,2710721.5,0.0,0.0,0.0,BENIGN
8,435,67402637,2,1,11,224,41,4,7.403308,482.8503,0,0,282.24207,694.64886,54384.66419373429,516368.2805368171,1753034.9,0.38924947,12397090,9,10711237,38.13292,0.015759531,5628354,0,0,1.2351168e-27,0.033378158,39400.566,0.0,0.0,18447.56,32283.22,1.4534723,19.769968,2.9973369,34.696617,110.352005,0.0009369859,584039.56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,112.33231,238.0449,189.16226,3142.2224,112.399574,173.53688,1.8943735,5891.594,88.2708,17.580505,0.002721836,19.0,115.39162,1.7211619e-29,0.004224487,0.004177493,6.1881155e-32,0.0,0.0,0.0,BENIGN
9,69,0,86,0,6,62,6,74,112.57823,225.65964,4136,25,1091.5513,1.9355538e-10,3.2629069062196647,34632.51787519782,1550119.9,0.38924947,150339,1503194,101680212,2029547.8,10954370.0,94314,2592,0,1045455.06,0.033378158,5.899295,0.0,0.0,10119.215,26615.402,241755.5,23.240086,2.301844,45.705788,122.53766,185.41681,13328.765,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.178624,70.96085,0.6666667,8422.348,2.0,60.040123,9.810083,44747.336,16589.664,-1.0,0.002721836,19.0,0.011374704,4.7102294e-29,11908.191,0.004177493,1.4129644e-30,0.6178937,2.462111e-30,0.0,BENIGN
10,448,4,2,1,35,0,1244,0,76.33105,0.70710677,0,0,0.6666667,783.3969,2775.955883974745,1501.1302633509874,1309037.6,1473254.8,4923,8,5478,1.4430363e-26,0.015759531,454849,0,1962701,8.728048e-27,0.033378158,0.0,0.002256609,0.0,-2593.0237,14639.89,16330.498,108.845375,0.0,1285.525,5.7300663,334.70837,1.8636562e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,253.54744,27.854862,0.66666675,4685.2593,2.0,1939.8942,0.62825286,46127.72,6312.239,-1.0,0.002721836,20.0,604216.56,4.9751865e-29,0.004224487,0.004177493,1.8990532e-31,3.5830584e-32,0.0,8629165.0,BENIGN
11,480,46016347,3,2,0,12790,43,8,51.765446,0.70710677,218,0,72.05365,555.6746,2007.4410550449786,0.0656789478367509,6696505.5,477621.06,80326024,10872834,65479231,2.0125194e-27,1573273.2,217,0,119463415,11409452.0,7966774.0,6.635535e-26,0.0,0.0,9732.383,26289.57,3000000.0,15.906293,0.0,4263.5713,29.523071,451.11835,1631712.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,550.08594,57.64897,83.120735,-5617.907,2.0,10.72057,4.4315295,29876.223,-1.0,17.663094,28.861076,18.0,0.011374704,3.2187326e-30,5965.4917,0.004177493,8.734976e-31,0.0,1.3288391e-29,0.0,BENIGN
12,466,41624672,2,0,7,26,8,0,2.8617697,0.70710677,0,0,193.62068,1.4947858e-10,26466313.20194593,0.21509801098151649,4.0174007,5133403.0,3297200,3,4,2.3624923e-26,0.015759531,3275449,415,0,176950.83,10786824.0,5.342096e-25,0.0,0.0,15055.295,13629.429,4.453142,0.15380761,0.0,29.437597,10.361096,0.2195846,594080.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,208.1807,81.14897,247.83336,10016.147,2.0,157.76808,11.780086,1129.5966,26349.838,-1.0,0.002721836,18.0,0.011374704,5.3452464e-29,0.004224487,0.004177493,2.2318515e-30,0.0,0.0,0.0,BENIGN
13,475,249148,2,1,2697,1669,71,4,88.94572,0.70710677,0,0,10.120081,1.200374e-10,29227.649499428033,0.04494162468948731,22452.832,2.675204,1493,10,0,14222224.0,0.015759531,0,1239,0,7.970547e-28,0.033378158,1.3315566e-24,0.0,0.0,12046.86,12933.631,33.847862,0.062233698,0.24465996,35.96509,115.08678,4.5119185,2.3564595e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.789635,56.85518,5.201272,-9084.295,2.0,54.071194,0.0026528125,94.7006,9530.945,-1.0,1.881455,19.0,0.011374704,0.0,0.004224487,0.004177493,70288830.0,0.0,8.762051e-30,0.0,BENIGN
14,70,62560334,7,1,17,13,250,0,25.87962,0.70710677,2840,0,11.417613,5.6240496e-10,67539.18307732827,1488552.4748427768,1.835231,0.38924947,2819580,138107,9723732,3.1819657e-26,444.77924,109309,2,2736127,14673208.0,0.033378158,0.0,0.0,0.0,16168.303,-13835.595,6.0827856,0.5453281,0.0,49.763218,138.52213,279.57883,538511.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.412186,622.53644,16.686184,9066.039,2.0,174.96419,1.1044617,1865.4293,7328.461,180.8661,0.002721836,33.0,0.011374704,2.684175e-29,639766.9,0.004177493,3.8913422e-30,4.2453913e-32,16183287.0,0.0,BENIGN
15,459,7,2,0,18,0,60,0,43.692448,247.38264,0,0,0.6666668,517.5959,39869.97432473765,0.18483238176986105,3634610.5,0.38924947,540,3,2071987,3.269773,0.015759531,2,0,3926944,9054624.0,0.033378158,0.0,0.0,0.0,-1260.2852,30931.076,12569.404,1.1835101,2.7124778e-28,4.2710695,65.38098,258.21423,2.6178704e-27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.272415,226.35687,0.6666668,10640.565,2.0,21.611778,28.838589,141.31573,16966.041,14261.303,0.002721836,18.0,0.011374704,1.4104287e-28,0.004224487,0.004177493,3.9841655e-31,0.0,0.0,0.0,BENIGN
