,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,48,69218,3,4,90,13,5,31,47.057743,7.9503055,1337,0,1444.0565,1057.6941,33705755.17779,610539.8147066458,7384476.5,0.0,1397254,7,0,2.3230598,6765493.0,153,0,77,47.832123,1353282.8,7270,0,0,209,38,509.78046,14.2074375,7,0,5.741551,330.29437,0.0,0,0,0,0,1,0,0,0,4.8472743,8.190469,1292.673,408,3,3,4,27,265,-1,1,20,0.0,1.8486087e-27,0,479016,2.1294298,0.0057016225,0,5115053,BENIGN
1,73,243854,2,1,1189,14,21,6,5.613183,0.016935136,1012,8,1.9676288e-26,803.57623,25181.683948579026,0.31802455531232854,6964486.5,69100000.0,45881,54,530,289.87424,6.6875215e-25,25060,0,0,6.522434e-29,4.2242696e-06,2,22,0,85,51,1.1721725,2.3379185,0,3997,5.935877,12.284705,250.68416,0,0,0,0,1,0,0,1,61.638138,8.640804,45.796623,69,2,25,3,0,-1,-1,2,20,0.0,7.0609055e-28,0,765,1.5099062,0.0057016225,0,0,DDoS
2,374,14149,4,1,161,111,569,6,7.174908,0.016935136,270,7,415.0074,3.444122e-21,22068.716475561225,0.3401272376743573,64100000.0,3.9445732e-26,117479,2,0,4.517203,10221270.0,1445946,12,0,3.4847825e-29,2.369453e-06,21945,0,0,251,0,2.425037,68.544334,52,2715,40.01439,26.742344,552.15216,0,0,0,0,0,0,0,0,1602.8263,9.512723,1848.7224,20,2,26,4,0,7239,304,1,20,0.0,1.0038891e-28,0,0,2.151629,0.0057016225,6669901,0,DDoS
3,78,20576,1,3,29,773,23,0,52.56739,0.016935136,3,5,1.1565215e-27,2519.799,64.76180688098977,20.181677270004606,214.51491,141435.61,88092,64,2,3.1718662,9.559325e-25,512,5,0,5.867283e-29,2.8857373e-06,0,663,1,20,135,7.2128224,5.8842176e-24,6,911,98.64944,1343.1886,5189.075,0,0,0,1,0,0,0,1,61.04091,6.8428674,0.0,28,3,0,3,196,-1,0,1,20,1.8005004e-22,3.6288146e-28,0,7269,1.8276649,44.21837,0,0,BENIGN
4,55,2899500,2,24,0,31,0,6,7.4259515,39.988567,1276,6,2381.402,2.854769e-21,28.048622983403085,2.665549267908018,3868995.2,45447.508,652884,3,1090689,10581885.0,8786820.0,3205,0,6,5.279808e-30,3.7506024e-06,20,2,0,92,143,20.848402,0.04730457,50,8,187.43144,2235.2688,17180220.0,0,0,0,1,0,0,0,0,1.1259932e-13,9.146002,0.0,95,3,93,1,344,-1,1986,1,20,1.01462905e-22,1.8798203e-27,0,188196,2.0956135,0.0057016225,0,0,DDoS
5,417,62881927,1,2,72,13059,30,65,8.488477,6.883013,0,0,76.42588,1695.661,6692.638333908649,0.06738925085451142,55161.93,3711122.2,97868,7,0,5785775.0,3.779193e-26,0,106,0,3.479691e-29,439223.34,0,7,0,20,189,7033.891,37873.457,0,6,7.8442435,6.399619,8953219.0,0,0,0,0,1,0,0,1,2.375864,5.651903,2.1210911,76,2,1175,1,66,7708,-1,1,20,0.0,3.9068206e-28,0,90083,10698966.0,0.0057016225,3372080,0,BENIGN
6,77,0,1,2,22,13287,17,5,416.5586,0.016935136,2,0,2.5001675e-26,2804.1575,437949.0018778623,15.230500406066524,1327092.1,55566.863,502254,7,8028,8134.4644,8.289198e-25,8404790,2,2136879,120902.664,6.568392e-06,13029,6621,0,110,17,2.434705,426.33984,0,4701,46.97369,2273.6611,2.4218556e-24,0,0,0,0,1,0,0,0,2.9011147e-13,28.655426,79.21349,275,60,10,5,108,157,208,2,20,0.0,6.6477425e-28,0,178093,15243448.0,0.0057016225,0,0,BENIGN
7,74,334039,2,1,30,13676,133,33,59.23418,0.016935136,1505,0,7.254533e-26,751.2936,434498.05594135914,0.09384881866413333,5461713.5,4851755.0,66323161,2,7620,59166.895,36607924.0,14317,6,0,2.5119063e-29,4419.9717,0,400,0,57,80,0.40987408,2.456352e-24,7,2877,5.7108974,2.6248313e-21,85.54127,0,0,0,0,1,0,0,2,1593.1666,55.45437,1415.8739,606,3,6,3,0,7058,150,1,20,87.51936,5.7955907e-28,0,145994,2.034239,0.0057016225,0,0,BENIGN
8,372,1195118,7,8,34,4653,25,6,3.6442304,0.016935136,2,0,1794.4314,1.2585304e-21,18800.704337289648,1.20290245716676,591700.94,9021405.0,13772777,2,710423,0.83035356,35423656.0,19817897,0,237716,5.2425156e-30,3.6490937e-06,0,0,1,51,26,4.2593703,4.1001368,5,1830,1001.7639,1130.1255,7.9155196e-25,0,0,0,0,1,0,1,1,6.478757,576.4363,1192.033,20,4,28,1,28,-1,5,1,20,0.0,1.1057122e-27,0,0,2.1192982,0.0057016225,0,0,BENIGN
9,6186,1039,2,7,28,0,21,6,67.63633,103.889854,45,159,12.121461,5.396408e-21,40135.221045638806,17.544574953214337,336741.5,176.09433,80476757,0,0,0.0,1.0481898e-24,7096377,0,80,54.74427,3.8623884e-06,570636,148,0,74,25,0.07512294,2.7954094e-23,0,236,30.83474,6.6098275,11825149.0,0,1,0,0,0,0,0,0,52.38837,359.98053,2491.632,34,1,0,1,179,7217,-1,3,20,2.0113633e-22,7.9294677e-28,0,0,2.1254106,0.0057016225,0,0,BENIGN
